Results of individual 3D analysis
Dataset name, F:\microCT\Axial\AX13_RC03\AX13_RC03_Rec_20160908\ReconstructedAnalysis_20160909\VOI_new\ax13_rc03__rec0000
Number of objects, 2869
#,Object volume,Object surface,Volume of pores,Surface of pores,Porosity,Number of pores,Centroid x,Centroid y,Centroid z,Structure model index,Volume-equivalent sphere diameter,Surface-equivalent sphere diameter,Sauter diameter,Sphericity,Density,
,Obj.V,Obj.S,Po.V,Po.S,Po,Po.N,Crd.X,Crd.Y,Crd.Z,SMI,ESDv,ESDs,Sau.Dm,Sph,Dens,
,um^3,um^2,um^3,um^2,,,um,um,um,,um,um,um,,Index,
81,4720.45576,1526.87344,0.00000,0.00000,0.0000,0,2181.79079,2994.43033,965.49319,3.44488,20.81270,22.04584,18.54950,0.89126,n/a,
82,164.17142,164.94018,0.00000,0.00000,0.0000,0,1610.98074,3002.43381,956.95389,3.37601,6.79359,7.24583,5.97203,0.87907,n/a,
83,0.56271,3.89810,0.00000,0.00000,0.0000,0,3871.98781,2758.84757,955.62039,2.54034,1.02431,1.11391,0.86613,0.84558,n/a,
84,131.25273,146.39886,0.00000,0.00000,0.0000,0,3097.54140,2119.73217,960.81872,3.20890,6.30526,6.82643,5.37925,0.85314,n/a,
85,851.08882,838.30839,0.00000,0.00000,0.0000,0,3860.65059,2736.47759,976.24107,2.57857,11.75778,16.33529,6.09147,0.51808,n/a,
86,870.09444,502.69600,0.00000,0.00000,0.0000,0,1450.02291,2786.04837,962.72091,3.36927,11.84466,12.64963,10.38514,0.87678,n/a,
87,4067.84976,1369.35731,0.00000,0.00000,0.0000,0,2133.00539,2986.15759,967.09272,3.47035,19.80563,20.87774,17.82376,0.89993,n/a,
88,164.87481,191.35395,0.00000,0.00000,0.0000,0,3111.03740,2178.73812,964.21238,3.03959,6.80328,7.80448,5.16973,0.75989,n/a,
89,1232.57986,855.78674,0.00000,0.00000,0.0000,0,3088.44815,2165.19010,967.17697,2.88922,13.30267,16.50471,8.64173,0.64962,n/a,
90,3859.78676,1475.06360,0.00000,0.00000,0.0000,0,1465.23460,2808.04342,971.01802,3.58155,19.46203,21.66858,15.70015,0.80671,n/a,
91,363.37169,308.17391,0.00000,0.00000,0.0000,0,2849.95470,1494.67091,966.63048,3.10654,8.85355,9.90428,7.07467,0.79908,n/a,
92,3630.19999,1289.00285,0.00000,0.00000,0.0000,0,2109.97381,2910.69315,972.54264,3.39301,19.06824,20.25592,16.89771,0.88617,n/a,
93,2569.20529,1011.58389,0.00000,0.00000,0.0000,0,2066.38905,2949.31723,971.42963,3.44607,16.99287,17.94428,15.23871,0.89677,n/a,
94,3538.89987,1242.62424,0.00000,0.00000,0.0000,0,2055.74345,2891.93072,975.16099,3.49174,18.90703,19.88818,17.08755,0.90377,n/a,
95,1098.27442,579.55046,0.00000,0.00000,0.0000,0,2066.15551,2914.11264,972.86807,3.39710,12.80081,13.58222,11.37027,0.88825,n/a,
96,327.35809,260.34526,0.00000,0.00000,0.0000,0,2025.44449,2880.65418,974.14700,3.40064,8.55083,9.10332,7.54440,0.88230,n/a,
97,491.67018,408.00251,0.00000,0.00000,0.0000,0,1854.79861,2108.94426,979.66238,2.79970,9.79246,11.39611,7.23040,0.73836,n/a,
98,2050.94694,881.02204,0.00000,0.00000,0.0000,0,2164.16926,3040.40081,980.58315,3.43671,15.76347,16.74628,13.96751,0.88607,n/a,
99,645.43141,408.21477,0.00000,0.00000,0.0000,0,2409.47692,3453.35969,979.20879,3.37314,10.72220,11.39907,9.48664,0.88477,n/a,
100,590.70761,409.31922,0.00000,0.00000,0.0000,0,2825.50351,1496.36885,980.99244,3.21285,10.41017,11.41448,8.65888,0.83177,n/a,
