File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar Moment of inertia,Product of inertia,Principal moment of inertia (max),Principal moment of inertia (min),Total orientation,Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Pr.In,MMI(max),MMI(min),T.Or,Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,um,,um^2,um^2,,um,um,1/um,um^2,um,1/um,,,um^2,um,,um^2,um^2,,,um,um,um^4,um^4,um^4,um^4,um^4,um^4,°,,um,um,1/um,,um,
ax13_rc03__rec00002276.bmp,3414.43016,15,6770533.85212,52596.03295,0.77684,11149.93306,2289.16535,0.04352,3506.40220,66.81684,0.03919,15,0,0.00000,0.00000,0.00000,6717937.81917,6717937.81917,99.22316,99.22316,2425.80561,3609.45473,30608790773.97514,14640576623.96019,45249367397.93533,-2663273178.09055,31041273852.13070,14208093545.80463,99.22362,0.73596,45.95215,5869.33385,0.00017,0.90181,25.68522,
ax13_rc03__rec00002275.bmp,3412.92998,16,6770582.80195,51848.28205,0.76579,11153.66145,2300.13729,0.04436,3240.51763,64.23360,0.04287,16,0,0.00000,0.00000,0.00000,6718734.51990,6718734.51990,99.23421,99.23421,2416.80448,3595.95303,30480242573.95345,13527593598.05345,44007836172.00690,-3171386789.27620,31054098802.00114,12953737370.00576,100.25658,0.75553,45.08277,5842.02912,0.00017,0.88048,29.30699,
ax13_rc03__rec00002274.bmp,3411.42979,18,6770741.46693,50874.91181,0.75139,11168.23688,2325.59634,0.04571,2826.38399,59.98886,0.03844,16,2,51.48172,42.58253,0.10109,6719815.07340,6719866.55512,99.24785,99.24861,2407.80334,3579.45095,30170159569.87749,12264246019.82157,42434405589.69906,-3787380493.70690,30938297693.04030,11496107896.65876,101.46494,0.78698,43.75214,5779.04810,0.00017,0.86916,30.80718,
ax13_rc03__rec00002273.bmp,3409.92960,20,6770802.51356,49520.07045,0.73138,11167.35809,2238.15892,0.04520,2476.00352,56.14753,0.03667,18,2,19.69246,21.73066,0.03975,6721262.75065,6721282.44311,99.26833,99.26862,2400.30240,3561.44869,29514053414.32563,11063088514.40767,40577141928.73330,-4371886656.56869,30497533662.52480,10079608266.20850,102.67796,0.81856,44.25072,6006.08150,0.00017,0.86086,30.80718,
ax13_rc03__rec00002272.bmp,3408.42941,22,6770695.04898,48495.78113,0.71626,11168.60089,2230.55136,0.04599,2204.35369,52.97802,0.03918,20,2,4.50113,11.48673,0.00928,6722194.76672,6722199.26785,99.28367,99.28374,2386.80070,3540.44604,28867491562.58441,9542215224.16711,38409706786.75152,-5059275573.01891,30111862411.10347,8297844375.64805,103.81809,0.84863,43.48322,6027.38802,0.00016,0.86147,34.86835,
ax13_rc03__rec00002271.bmp,3406.92922,19,6770871.15585,48003.75091,0.70897,11155.78304,2107.56173,0.04390,2526.51321,56.71734,0.04929,18,1,3.37585,7.24355,0.00703,6722864.02909,6722867.40494,99.29098,99.29103,2371.79881,3526.94434,28418848570.03066,7935635496.75859,36354484066.78925,-5791037512.91512,29942726295.72978,6411757771.05947,104.74283,0.87853,45.55383,6379.75848,0.00016,0.85185,36.36854,
ax13_rc03__rec00002270.bmp,3405.42903,17,6770936.70362,47787.13383,0.70577,11157.90463,1964.66148,0.04111,2811.00787,59.82547,0.04550,15,2,45.29266,38.33935,0.09469,6723104.27712,6723149.56979,99.29356,99.29423,2370.29862,3522.44377,28062664476.73056,7239179458.16331,35301843934.89387,-6066726159.58002,29701214427.58898,5600629507.30489,105.11427,0.89461,48.64668,6844.07940,0.00015,0.83964,31.24658,
ax13_rc03__rec00002269.bmp,3403.92884,13,6771105.49614,47989.96619,0.70875,11171.96528,1853.37181,0.03862,3691.53586,68.55807,0.04118,13,0,0.00000,0.00000,0.00000,6723115.52996,6723115.52996,99.29125,99.29125,2374.79919,3526.94434,28035580920.69455,7076446851.25576,35112027771.95030,-6072404049.84886,29667802200.66255,5444225571.28775,105.04511,0.90103,51.78666,7255.01004,0.00014,0.87170,32.74677,
ax13_rc03__rec00002268.bmp,3402.42865,12,6771145.44371,48338.24143,0.71389,11170.72248,1801.93892,0.03728,4028.18679,71.61597,0.03399,12,0,0.00000,0.00000,0.00000,6722807.20227,6722807.20227,99.28611,99.28611,2380.79994,3531.44491,28072225855.02286,7011996863.89965,35084222718.92251,-6061497686.94111,29692216935.06960,5392005783.85291,104.96311,0.89813,53.65137,7461.74815,0.00013,0.92298,30.18578,
ax13_rc03__rec00002267.bmp,3400.92846,14,6771330.27153,48860.37299,0.72158,11158.78342,1875.31570,0.03838,3490.02664,66.66063,0.03972,14,0,0.00000,0.00000,0.00000,6722469.89854,6722469.89854,99.27842,99.27842,2389.80108,3532.94510,28290226070.45948,6968353780.67034,35258579851.12983,-6111177446.77612,29917579036.40149,5341000814.72834,104.91133,0.90561,52.10896,7169.42743,0.00014,0.92079,29.74639,
